Year,State,Food-at-home sales with taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales with taxes and tips (millions of nominal U.S. dollars),Total food sales with taxes and tips (millions of nominal U.S. dollars),Food-at-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales with taxes and tips (millions of constant U.S. dollars (1988=100))
2022,New Mexico,"6,746.19","7,267.76","14,013.95","2,594.49","2,591.12","5,185.61"
2023,New Mexico,"6,939.45","8,041.89","14,981.34","2,550.77","2,668.30","5,219.07"
2024,New Mexico,"7,155.60","8,434.54","15,590.14","2,593.92","2,674.90","5,268.82"
1997,New York,"22,091.55","19,573.32","41,664.87","16,308.28","15,501.68","31,809.96"
1998,New York,"22,125.83","20,700.50","42,826.33","16,093.97","15,993.54","32,087.51"
1999,New York,"22,675.57","21,774.29","44,449.86","16,148.37","16,353.36","32,501.73"
2000,New York,"23,572.73","23,551.15","47,123.88","16,520.35","17,317.43","33,837.78"
2001,New York,"24,501.48","24,126.14","48,627.62","16,641.98","17,229.06","33,871.04"
2002,New York,"24,954.54","25,054.86","50,009.40","16,767.87","17,458.29","34,226.16"
2003,New York,"25,938.06","26,412.87","52,350.93","17,043.79","18,026.93","35,070.72"
2004,New York,"27,430.68","28,199.19","55,629.87","17,262.04","18,740.15","36,002.19"
2005,New York,"29,267.62","29,654.96","58,922.58","17,943.57","19,163.54","37,107.11"
2006,New York,"30,807.49","31,209.64","62,017.13","18,468.98","19,461.76","37,930.74"
2007,New York,"32,135.67","33,414.03","65,549.70","18,541.40","19,992.77","38,534.17"
2008,New York,"33,713.45","34,669.48","68,382.93","18,316.75","19,852.33","38,169.08"
2009,New York,"33,625.21","35,054.36","68,679.57","18,090.17","19,411.51","37,501.68"
2010,New York,"35,211.64","36,988.15","72,199.79","18,766.17","20,167.98","38,934.15"
2011,New York,"37,680.82","40,118.29","77,799.11","19,253.80","21,350.65","40,604.45"
2012,New York,"39,283.39","42,865.39","82,148.78","19,537.12","22,216.60","41,753.72"
2013,New York,"40,081.82","45,905.27","85,987.09","19,769.21","23,397.92","43,167.13"
2014,New York,"41,474.00","49,847.43","91,321.43","20,112.50","24,859.70","44,972.20"
2015,New York,"41,364.70","54,355.07","95,719.77","19,786.47","26,491.67","46,278.14"
2016,New York,"41,122.97","57,238.77","98,361.74","19,937.48","27,173.74","47,111.22"
2017,New York,"42,211.38","61,810.79","104,022.17","20,433.53","28,669.55","49,103.08"
2018,New York,"43,408.33","64,235.09","107,643.42","20,757.02","28,993.21","49,750.23"
2019,New York,"44,075.77","66,414.61","110,490.38","20,908.73","29,141.35","50,050.08"
2020,New York,"44,692.73","49,870.96","94,563.69","20,498.96","21,118.60","41,617.56"
2021,New York,"46,909.87","63,225.52","110,135.39","21,022.27","25,556.53","46,578.80"
2022,New York,"51,648.84","78,677.28","130,326.12","21,018.51","29,753.32","50,771.83"
2023,New York,"52,849.70","90,112.43","142,962.13","20,525.76","31,887.94","52,413.70"
2024,New York,"54,212.30","97,913.01","152,125.31","20,866.53","33,200.55","54,067.08"
1997,North Carolina,"12,251.87","8,691.02","20,942.89","9,111.98","6,673.65","15,785.63"
1998,North Carolina,"12,180.25","9,137.25","21,317.50","8,926.51","6,836.18","15,762.69"
1999,North Carolina,"12,371.61","9,653.89","22,025.50","8,925.18","7,050.34","15,975.52"
2000,North Carolina,"12,925.58","10,321.53","23,247.11","9,080.93","7,370.80","16,451.73"
2001,North Carolina,"13,236.71","10,783.52","24,020.23","9,041.04","7,499.45","16,540.49"
2002,North Carolina,"13,095.34","11,374.16","24,469.50","8,829.61","7,734.43","16,564.04"
2003,North Carolina,"12,781.08","12,032.54","24,813.62","8,435.51","7,991.22","16,426.73"
2004,North Carolina,"13,433.23","13,081.24","26,514.47","8,529.62","8,427.07","16,956.69"
2005,North Carolina,"14,115.97","13,889.30","28,005.27","8,784.45","8,695.91","17,480.36"
2006,North Carolina,"14,632.78","15,052.00","29,684.78","8,932.80","9,143.25","18,076.05"
2007,North Carolina,"15,534.54","16,169.96","31,704.50","9,101.58","9,497.91","18,599.49"
2008,North Carolina,"16,490.19","16,723.25","33,213.44","9,052.79","9,390.64","18,443.43"
2009,North Carolina,"16,151.16","16,668.17","32,819.33","8,799.67","9,031.84","17,831.51"
2010,North Carolina,"16,512.81","17,124.16","33,636.97","8,944.05","9,162.15","18,106.20"
2011,North Carolina,"17,666.12","18,072.96","35,739.08","9,102.79","9,459.41","18,562.20"
2012,North Carolina,"18,643.02","19,027.75","37,670.77","9,353.46","9,692.44","19,045.90"
2013,North Carolina,"19,103.85","20,161.55","39,265.40","9,472.09","10,039.52","19,511.61"
2014,North Carolina,"20,073.25","21,523.64","41,596.89","9,715.96","10,471.17","20,187.13"
2015,North Carolina,"20,694.30","23,403.02","44,097.32","9,914.23","11,048.31","20,962.54"
2016,North Carolina,"21,435.83","25,041.46","46,477.29","10,417.48","11,590.16","22,007.64"
2017,North Carolina,"22,759.76","26,753.71","49,513.47","11,085.51","12,138.24","23,223.75"
2018,North Carolina,"23,418.64","28,016.14","51,434.78","11,372.43","12,448.32","23,820.75"
2019,North Carolina,"24,317.77","29,503.04","53,820.81","11,728.34","12,717.99","24,446.33"
2020,North Carolina,"26,514.96","26,973.82","53,488.78","12,353.33","11,318.66","23,671.99"
2021,North Carolina,"28,593.86","32,688.48","61,282.34","12,879.51","13,205.94","26,085.45"
2022,North Carolina,"31,119.94","38,506.76","69,626.70","12,585.27","14,434.77","27,020.04"
2023,North Carolina,"31,206.09","41,300.63","72,506.72","11,979.92","14,453.91","26,433.83"
2024,North Carolina,"31,383.88","42,911.37","74,295.25","11,900.17","14,455.91","26,356.08"
1997,North Dakota,753.06,633.44,"1,386.50",563.2,483.07,"1,046.27"
1998,North Dakota,755.46,662.18,"1,417.64",554.9,492.25,"1,047.15"
1999,North Dakota,779.35,684.15,"1,463.50",560.64,496.07,"1,056.71"
2000,North Dakota,803.41,728.45,"1,531.86",564.89,513.66,"1,078.55"
2001,North Dakota,848.48,749.76,"1,598.24",578.55,513.93,"1,092.48"
2002,North Dakota,877.12,782.59,"1,659.71",593.51,525.14,"1,118.65"
2003,North Dakota,941.59,819.25,"1,760.84",628.27,539.01,"1,167.28"
2004,North Dakota,"1,012.14",875.98,"1,888.12",656.32,559.77,"1,216.09"
2005,North Dakota,"1,101.11",931.2,"2,032.31",699.05,575.41,"1,274.46"
2006,North Dakota,"1,195.25",980.34,"2,175.59",746.87,589.7,"1,336.57"
2007,North Dakota,"1,222.98","1,047.07","2,270.05",735,608.88,"1,343.88"
2008,North Dakota,"1,360.55","1,088.12","2,448.67",768.48,604.11,"1,372.59"
2009,North Dakota,"1,382.29","1,125.90","2,508.19",773.42,602.6,"1,376.02"
2010,North Dakota,"1,465.30","1,180.54","2,645.84",816.23,624.97,"1,441.20"
2011,North Dakota,"1,598.03","1,268.54","2,866.57",850.19,655.05,"1,505.24"
2012,North Dakota,"1,752.70","1,388.75","3,141.45",908.68,696.86,"1,605.54"
2013,North Dakota,"1,873.66","1,472.65","3,346.31",966.04,721.54,"1,687.58"
2014,North Dakota,"2,010.60","1,596.02","3,606.62","1,011.53",760.96,"1,772.49"
2015,North Dakota,"2,007.80","1,718.01","3,725.81","1,004.57",794.84,"1,799.41"
2016,North Dakota,"1,927.00","1,749.58","3,676.58",977.14,789.25,"1,766.39"
2017,North Dakota,"1,954.85","1,845.36","3,800.21",994.81,818.78,"1,813.59"
2018,North Dakota,"1,948.87","1,920.77","3,869.64",991.48,832.34,"1,823.82"
2019,North Dakota,"1,934.17","1,980.14","3,914.31",979.18,835.74,"1,814.92"
2020,North Dakota,"2,001.39","1,860.74","3,862.13",984.78,765.84,"1,750.62"
2021,North Dakota,"2,157.06","2,328.95","4,486.01","1,026.18",912.14,"1,938.32"
2022,North Dakota,"2,322.62","2,483.42","4,806.04",979.07,894.52,"1,873.59"
2023,North Dakota,"2,326.06","2,563.30","4,889.36",931.9,864.41,"1,796.31"
2024,North Dakota,"2,342.01","2,598.69","4,940.70",927.94,846.93,"1,774.87"
1997,Ohio,"12,399.96","12,644.40","25,044.36","9,273.78","9,642.79","18,916.57"
1998,Ohio,"12,754.76","13,163.01","25,917.77","9,368.68","9,785.11","19,153.79"
1999,Ohio,"13,623.03","13,622.45","27,245.48","9,800.07","9,877.53","19,677.60"
2000,Ohio,"14,553.88","14,485.46","29,039.34","10,233.06","10,214.33","20,447.39"
2001,Ohio,"15,232.54","14,852.79","30,085.33","10,386.64","10,181.07","20,567.71"
2002,Ohio,"15,641.41","15,423.57","31,064.98","10,583.93","10,349.68","20,933.61"
2003,Ohio,"17,811.37","16,175.10","33,986.47","11,884.57","10,641.99","22,526.56"
2004,Ohio,"18,468.20","17,325.86","35,794.06","11,975.72","11,071.65","23,047.37"
2005,Ohio,"20,090.64","18,211.33","38,301.97","12,754.73","11,253.23","24,007.96"
2006,Ohio,"20,944.13","18,891.83","39,835.96","13,087.24","11,364.01","24,451.25"
2007,Ohio,"21,984.19","19,463.53","41,447.72","13,212.30","11,318.18","24,530.48"
2008,Ohio,"23,531.11","19,777.86","43,308.97","13,291.15","10,980.51","24,271.66"
2009,Ohio,"22,936.87","19,489.51","42,426.38","12,833.76","10,431.04","23,264.80"
2010,Ohio,"23,520.29","20,028.22","43,548.51","13,101.74","10,602.79","23,704.53"
2011,Ohio,"24,495.66","21,001.91","45,497.57","13,032.32","10,845.03","23,877.35"
2012,Ohio,"25,415.57","22,061.31","47,476.88","13,176.52","11,070.09","24,246.61"
2013,Ohio,"25,858.92","23,234.75","49,093.67","13,332.63","11,384.19","24,716.82"
2014,Ohio,"26,589.54","24,556.32","51,145.86","13,377.17","11,708.14","25,085.31"
2015,Ohio,"26,679.82","26,594.94","53,274.76","13,348.84","12,304.16","25,653.00"
2016,Ohio,"27,125.46","28,162.71","55,288.17","13,754.71","12,704.50","26,459.21"
2017,Ohio,"28,306.30","29,954.99","58,261.29","14,404.89","13,290.93","27,695.82"
2018,Ohio,"28,704.41","31,019.49","59,723.90","14,603.23","13,441.88","28,045.11"
2019,Ohio,"29,063.97","32,146.01","61,209.98","14,713.64","13,567.55","28,281.19"
2020,Ohio,"30,801.73","29,195.72","59,997.45","15,155.88","12,016.29","27,172.17"
2021,Ohio,"32,204.18","35,199.17","67,403.35","15,320.56","13,785.90","29,106.46"
2022,Ohio,"34,750.71","39,588.71","74,339.42","14,648.68","14,259.73","28,908.41"
2023,Ohio,"34,943.11","41,680.69","76,623.80","13,999.48","14,055.78","28,055.26"
2024,Ohio,"35,198.21","42,761.25","77,959.46","13,946.05","13,936.21","27,882.26"
1997,Oklahoma,"3,498.13","3,433.38","6,931.51","2,601.63","2,636.42","5,238.05"
1998,Oklahoma,"3,710.83","3,560.47","7,271.30","2,719.55","2,663.82","5,383.37"
1999,Oklahoma,"3,998.13","3,780.13","7,778.26","2,884.35","2,760.67","5,645.02"
2000,Oklahoma,"4,323.00","4,070.42","8,393.42","3,037.14","2,906.76","5,943.90"
2001,Oklahoma,"4,674.61","4,234.53","8,909.14","3,192.89","2,944.92","6,137.81"
2002,Oklahoma,"4,828.53","4,398.41","9,226.94","3,255.66","2,990.92","6,246.58"
2003,Oklahoma,"5,058.54","4,590.24","9,648.78","3,338.63","3,048.54","6,387.17"
2004,Oklahoma,"5,344.76","4,866.06","10,210.82","3,393.73","3,134.77","6,528.50"
2005,Oklahoma,"5,711.54","5,177.81","10,889.35","3,554.33","3,241.76","6,796.09"
2006,Oklahoma,"6,004.68","5,513.43","11,518.11","3,665.65","3,349.10","7,014.75"
2007,Oklahoma,"6,200.98","5,744.25","11,945.23","3,633.11","3,374.06","7,007.17"
2008,Oklahoma,"6,541.22","5,988.46","12,529.68","3,591.00","3,362.71","6,953.71"
2009,Oklahoma,"6,479.30","6,149.77","12,629.07","3,530.13","3,332.32","6,862.45"
2010,Oklahoma,"6,687.97","6,304.04","12,992.01","3,622.49","3,372.93","6,995.42"
2011,Oklahoma,"6,961.26","6,701.15","13,662.41","3,586.92","3,507.39","7,094.31"
2012,Oklahoma,"7,253.37","7,079.15","14,332.52","3,639.12","3,606.01","7,245.13"
2013,Oklahoma,"7,568.03","7,451.79","15,019.82","3,752.39","3,710.65","7,463.04"
2014,Oklahoma,"7,987.66","7,917.78","15,905.44","3,866.23","3,851.97","7,718.20"
2015,Oklahoma,"8,265.29","8,610.80","16,876.09","3,959.73","4,065.07","8,024.80"
2016,Oklahoma,"8,482.63","9,050.10","17,532.73","4,122.43","4,188.73","8,311.16"
2017,Oklahoma,"8,811.72","9,497.21","18,308.93","4,291.89","4,308.92","8,600.81"
2018,Oklahoma,"9,060.26","9,958.78","19,019.04","4,399.79","4,424.95","8,824.74"
2019,Oklahoma,"9,180.96","10,486.32","19,667.28","4,427.93","4,520.38","8,948.31"
2020,Oklahoma,"10,085.97","10,229.52","20,315.49","4,699.06","4,292.47","8,991.53"
2021,Oklahoma,"10,848.38","12,321.31","23,169.69","4,886.43","4,977.73","9,864.16"
2022,Oklahoma,"12,353.50","13,474.84","25,828.34","4,995.90","5,051.22","10,047.12"
2023,Oklahoma,"12,586.74","14,077.50","26,664.24","4,832.01","4,926.68","9,758.69"
2024,Oklahoma,"12,873.57","14,312.82","27,186.39","4,881.41","4,821.68","9,703.09"
1997,Oregon,"4,826.90","3,757.69","8,584.59","3,451.18","2,932.71","6,383.89"
1998,Oregon,"4,892.62","3,898.93","8,791.55","3,393.93","2,963.78","6,357.71"
1999,Oregon,"5,185.19","4,107.74","9,292.93","3,525.44","3,056.57","6,582.01"
2000,Oregon,"5,438.85","4,377.50","9,816.35","3,623.82","3,186.05","6,809.87"
2001,Oregon,"5,707.27","4,537.41","10,244.68","3,650.15","3,201.30","6,851.45"
2002,Oregon,"5,917.15","4,725.81","10,642.96","3,714.98","3,227.78","6,942.76"
2003,Oregon,"6,216.72","4,979.32","11,196.04","3,800.56","3,336.25","7,136.81"
2004,Oregon,"6,637.90","5,326.44","11,964.34","3,912.16","3,462.33","7,374.49"
2005,Oregon,"7,074.58","5,657.47","12,732.05","4,131.86","3,550.37","7,682.23"
2006,Oregon,"7,528.88","6,071.44","13,600.32","4,344.88","3,701.57","8,046.45"
2007,Oregon,"7,991.64","6,519.39","14,511.03","4,404.54","3,837.14","8,241.68"
2008,Oregon,"8,459.38","6,724.08","15,183.46","4,391.42","3,812.58","8,204.00"
2009,Oregon,"8,210.93","6,462.44","14,673.37","4,293.70","3,553.51","7,847.21"
2010,Oregon,"8,509.07","6,630.03","15,139.10","4,476.48","3,603.39","8,079.87"
2011,Oregon,"8,960.69","7,004.03","15,964.72","4,494.44","3,723.09","8,217.53"
2012,Oregon,"9,295.55","7,382.17","16,677.72","4,579.77","3,807.60","8,387.37"
2013,Oregon,"9,590.36","7,854.98","17,445.34","4,683.09","3,967.90","8,650.99"
2014,Oregon,"10,047.27","8,547.76","18,595.03","4,772.95","4,213.74","8,986.69"
2015,Oregon,"10,379.66","9,497.38","19,877.04","4,849.57","4,551.03","9,400.60"
2016,Oregon,"10,568.46","10,193.38","20,761.84","4,995.12","4,729.34","9,724.46"
2017,Oregon,"11,091.81","10,964.17","22,055.98","5,258.75","4,925.50","10,184.25"
2018,Oregon,"11,452.57","11,556.50","23,009.07","5,406.16","5,020.56","10,426.72"
2019,Oregon,"11,880.59","12,045.01","23,925.60","5,524.02","5,053.11","10,577.13"
2020,Oregon,"12,777.26","10,208.70","22,985.96","5,713.12","4,095.16","9,808.28"
2021,Oregon,"13,681.73","12,659.62","26,341.35","5,861.87","4,842.24","10,704.11"
2022,Oregon,"15,147.83","14,770.85","29,918.68","5,825.64","5,266.14","11,091.78"
2023,Oregon,"15,367.59","16,328.26","31,695.85","5,648.74","5,417.71","11,066.45"
2024,Oregon,"15,618.23","17,339.44","32,957.67","5,661.65","5,498.98","11,160.63"
1997,Pennsylvania,"15,619.27","11,778.36","27,397.63","11,530.35","9,328.22","20,858.57"
1998,Pennsylvania,"15,709.50","12,282.42","27,991.92","11,426.84","9,489.59","20,916.43"
1999,Pennsylvania,"16,666.53","12,915.87","29,582.40","11,869.04","9,700.33","21,569.37"
2000,Pennsylvania,"17,160.36","13,671.75","30,832.11","12,026.40","10,052.99","22,079.39"
2001,Pennsylvania,"17,906.57","14,242.93","32,149.50","12,162.57","10,171.22","22,333.79"
2002,Pennsylvania,"18,509.74","14,996.02","33,505.76","12,437.37","10,449.27","22,886.64"
2003,Pennsylvania,"19,265.88","15,654.38","34,920.26","12,659.53","10,684.20","23,343.73"
2004,Pennsylvania,"20,567.96","16,536.77","37,104.73","12,943.35","10,989.73","23,933.08"
2005,Pennsylvania,"21,337.27","17,483.40","38,820.67","13,081.58","11,298.07","24,379.65"
2006,Pennsylvania,"22,100.29","18,392.43","40,492.72","13,249.04","11,469.18","24,718.22"
2007,Pennsylvania,"23,218.31","19,321.73","42,540.04","13,396.33","11,560.86","24,957.19"
2008,Pennsylvania,"24,515.07","19,821.10","44,336.17","13,319.21","11,349.89","24,669.10"
2009,Pennsylvania,"24,481.59","19,779.21","44,260.80","13,170.95","10,952.83","24,123.78"
2010,Pennsylvania,"25,413.71","20,355.28","45,768.99","13,544.33","11,098.82","24,643.15"
2011,Pennsylvania,"26,838.05","21,461.70","48,299.75","13,713.46","11,421.76","25,135.22"
2012,Pennsylvania,"27,861.71","22,379.70","50,241.41","13,856.68","11,599.13","25,455.81"
2013,Pennsylvania,"28,069.11","23,358.79","51,427.90","13,844.29","11,905.97","25,750.26"
2014,Pennsylvania,"28,665.08","24,744.85","53,409.93","13,900.91","12,340.64","26,241.55"
2015,Pennsylvania,"28,883.17","26,682.97","55,566.14","13,816.03","13,004.79","26,820.82"
2016,Pennsylvania,"29,013.09","28,242.02","57,255.11","14,066.29","13,407.72","27,474.01"
2017,Pennsylvania,"29,234.30","30,056.06","59,290.36","14,151.63","13,940.83","28,092.46"
2018,Pennsylvania,"30,079.96","31,193.89","61,273.85","14,383.65","14,079.70","28,463.35"
2019,Pennsylvania,"30,625.73","32,440.45","63,066.18","14,528.28","14,234.19","28,762.47"
2020,Pennsylvania,"32,058.36","27,107.46","59,165.82","14,704.02","11,479.05","26,183.07"
2021,Pennsylvania,"34,491.89","33,189.16","67,681.05","15,457.25","13,415.47","28,872.72"
2022,Pennsylvania,"36,577.09","38,659.55","75,236.64","14,885.06","14,619.85","29,504.91"
2023,Pennsylvania,"37,639.80","42,451.02","80,090.82","14,618.54","15,022.07","29,640.61"
2024,Pennsylvania,"38,789.77","44,694.81","83,484.58","14,930.34","15,155.21","30,085.55"
1997,Rhode Island,889.58,"1,236.48","2,126.06",656.7,979.27,"1,635.97"
1998,Rhode Island,917.85,"1,277.40","2,195.25",667.63,986.94,"1,654.57"
1999,Rhode Island,979.86,"1,364.63","2,344.49",697.81,"1,024.89","1,722.70"
2000,Rhode Island,"1,052.78","1,485.79","2,538.57",737.82,"1,092.52","1,830.34"
2001,Rhode Island,"1,148.63","1,533.07","2,681.70",780.17,"1,094.80","1,874.97"
2002,Rhode Island,"1,217.43","1,624.56","2,841.99",818.03,"1,131.99","1,950.02"
2003,Rhode Island,"1,257.17","1,742.02","2,999.19",826.08,"1,188.94","2,015.02"
2004,Rhode Island,"1,319.56","1,865.04","3,184.60",830.39,"1,239.44","2,069.83"
2005,Rhode Island,"1,359.70","1,940.70","3,300.40",833.61,"1,254.11","2,087.72"
2006,Rhode Island,"1,404.69","2,017.00","3,421.69",842.11,"1,257.76","2,099.87"
2007,Rhode Island,"1,730.01","2,119.61","3,849.62",998.17,"1,268.24","2,266.41"
2008,Rhode Island,"1,774.13","2,151.52","3,925.65",963.9,"1,232.00","2,195.90"
2009,Rhode Island,"1,745.91","2,102.37","3,848.28",939.29,"1,164.19","2,103.48"
2010,Rhode Island,"1,775.95","2,166.05","3,942.00",946.5,"1,181.05","2,127.55"
2011,Rhode Island,"1,870.08","2,271.10","4,141.18",955.55,"1,208.66","2,164.21"
2012,Rhode Island,"1,994.61","2,410.98","4,405.59",991.99,"1,249.58","2,241.57"
2013,Rhode Island,"1,997.40","2,524.70","4,522.10",985.16,"1,286.84","2,272.00"
2014,Rhode Island,"2,039.00","2,718.03","4,757.03",988.8,"1,355.53","2,344.33"
2015,Rhode Island,"2,041.49","2,927.03","4,968.52",976.53,"1,426.58","2,403.11"
2016,Rhode Island,"2,051.78","3,075.86","5,127.64",994.76,"1,460.24","2,455.00"
2017,Rhode Island,"2,059.62","3,253.91","5,313.53",997.02,"1,509.26","2,506.28"
2018,Rhode Island,"2,127.34","3,410.41","5,537.75","1,017.25","1,539.33","2,556.58"
2019,Rhode Island,"2,190.55","3,566.44","5,756.99","1,039.16","1,564.88","2,604.04"
2020,Rhode Island,"2,265.53","2,975.60","5,241.13","1,039.12","1,260.06","2,299.18"
2021,Rhode Island,"2,490.14","3,900.36","6,390.50","1,115.94","1,576.58","2,692.52"
2022,Rhode Island,"2,826.31","4,483.66","7,309.97","1,150.17","1,695.58","2,845.75"
2023,Rhode Island,"2,918.52","4,869.86","7,788.38","1,133.50","1,723.29","2,856.79"
2024,Rhode Island,"3,021.01","5,073.41","8,094.42","1,162.80","1,720.30","2,883.10"
1997,South Carolina,"6,262.38","4,406.91","10,669.29","4,657.47","3,383.98","8,041.45"
1998,South Carolina,"6,123.82","4,681.29","10,805.11","4,487.95","3,502.38","7,990.33"
1999,South Carolina,"6,206.17","5,074.99","11,281.16","4,477.28","3,706.32","8,183.60"
2000,South Carolina,"6,368.44","5,429.63","11,798.07","4,474.18","3,877.40","8,351.58"
2001,South Carolina,"6,404.95","5,648.98","12,053.93","4,374.76","3,928.61","8,303.37"
2002,South Carolina,"6,442.22","5,982.91","12,425.13","4,343.71","4,068.38","8,412.09"
2003,South Carolina,"6,577.06","6,371.16","12,948.22","4,340.86","4,231.31","8,572.17"
2004,South Carolina,"7,026.16","6,875.69","13,901.85","4,461.36","4,429.39","8,890.75"
2005,South Carolina,"7,486.98","7,289.86","14,776.84","4,659.19","4,564.08","9,223.27"
2006,South Carolina,"7,834.38","7,798.88","15,633.26","4,782.62","4,737.38","9,520.00"
2007,South Carolina,"8,210.73","8,325.93","16,536.66","4,810.61","4,890.49","9,701.10"
2008,South Carolina,"8,428.74","8,622.86","17,051.60","4,627.21","4,842.01","9,469.22"
2009,South Carolina,"8,317.59","8,516.84","16,834.43","4,531.69","4,614.95","9,146.64"
2010,South Carolina,"8,651.47","8,759.76","17,411.23","4,686.01","4,686.84","9,372.85"
2011,South Carolina,"9,058.81","9,226.34","18,285.15","4,667.72","4,829.08","9,496.80"
2012,South Carolina,"9,181.39","9,726.90","18,908.29","4,606.43","4,954.73","9,561.16"
2013,South Carolina,"9,467.54","10,276.13","19,743.67","4,694.21","5,117.03","9,811.24"
2014,South Carolina,"10,092.61","11,034.13","21,126.74","4,885.07","5,368.06","10,253.13"
2015,South Carolina,"10,314.44","12,128.18","22,442.62","4,941.44","5,725.58","10,667.02"
2016,South Carolina,"10,558.89","12,951.66","23,510.55","5,131.46","5,994.53","11,125.99"
2017,South Carolina,"11,038.76","13,813.14","24,851.90","5,376.61","6,267.06","11,643.67"
2018,South Carolina,"11,689.41","14,799.07","26,488.48","5,676.54","6,575.62","12,252.16"
2019,South Carolina,"12,078.08","15,604.70","27,682.78","5,825.20","6,726.78","12,551.98"
2020,South Carolina,"13,076.90","15,031.06","28,107.96","6,092.53","6,307.28","12,399.81"
2021,South Carolina,"13,807.53","18,334.27","32,141.80","6,219.32","7,406.93","13,626.25"
2022,South Carolina,"15,753.17","20,640.79","36,393.96","6,370.77","7,737.47","14,108.24"
2023,South Carolina,"16,129.01","22,140.62","38,269.63","6,191.88","7,748.52","13,940.40"
2024,South Carolina,"16,568.91","22,894.17","39,463.08","6,282.61","7,712.55","13,995.16"
1997,South Dakota,"1,021.74",740.91,"1,762.65",764.15,565.03,"1,329.18"
1998,South Dakota,"1,042.07",776.3,"1,818.37",765.43,577.09,"1,342.52"
1999,South Dakota,"1,091.59",810.7,"1,902.29",785.26,587.83,"1,373.09"
2000,South Dakota,"1,161.01",877.63,"2,038.64",816.33,618.85,"1,435.18"
2001,South Dakota,"1,240.63",926.66,"2,167.29",845.95,635.19,"1,481.14"
2002,South Dakota,"1,267.62",972.73,"2,240.35",857.75,652.73,"1,510.48"
2003,South Dakota,"1,340.99","1,027.04","2,368.03",894.77,675.71,"1,570.48"
2004,South Dakota,"1,424.81","1,102.62","2,527.43",923.92,704.6,"1,628.52"
2005,South Dakota,"1,545.70","1,166.14","2,711.84",981.3,720.59,"1,701.89"
2006,South Dakota,"1,625.13","1,240.94","2,866.07","1,015.49",746.46,"1,761.95"
2007,South Dakota,"1,718.08","1,291.68","3,009.76","1,032.55",751.12,"1,783.67"
2008,South Dakota,"1,786.39","1,340.06","3,126.45","1,009.01",743.99,"1,753.00"
2009,South Dakota,"1,774.42","1,366.54","3,140.96",992.83,731.39,"1,724.22"
2010,South Dakota,"1,821.66","1,405.77","3,227.43","1,014.74",744.2,"1,758.94"
2011,South Dakota,"1,918.28","1,481.17","3,399.45","1,020.57",764.85,"1,785.42"
2012,South Dakota,"1,972.07","1,561.45","3,533.52","1,022.40",783.51,"1,805.91"
2013,South Dakota,"1,987.09","1,626.66","3,613.75","1,024.52",797.01,"1,821.53"
2014,South Dakota,"2,032.73","1,730.69","3,763.42","1,022.66",825.17,"1,847.83"
2015,South Dakota,"2,058.77","1,859.27","3,918.04","1,030.07",860.19,"1,890.26"
2016,South Dakota,"2,135.77","1,965.42","4,101.19","1,083.00",886.62,"1,969.62"
2017,South Dakota,"2,172.98","2,074.37","4,247.35","1,105.81",920.39,"2,026.20"
2018,South Dakota,"2,176.60","2,143.31","4,319.91","1,107.34",928.77,"2,036.11"
2019,South Dakota,"2,181.65","2,208.13","4,389.78","1,104.46",931.96,"2,036.42"
2020,South Dakota,"2,263.12","2,067.57","4,330.69","1,113.56",850.97,"1,964.53"
2021,South Dakota,"2,440.96","2,608.54","5,049.50","1,161.24","1,021.65","2,182.89"
2022,South Dakota,"2,813.14","2,896.17","5,709.31","1,185.84","1,043.19","2,229.03"
2023,South Dakota,"2,897.84","3,066.32","5,964.16","1,160.98","1,034.04","2,195.02"
2024,South Dakota,"3,000.78","3,175.44","6,176.22","1,188.96","1,034.90","2,223.86"
1997,Tennessee,"5,010.82","6,085.58","11,096.40","3,726.66","4,672.99","8,399.65"
1998,Tennessee,"6,263.62","6,420.56","12,684.18","4,590.40","4,803.64","9,394.04"
1999,Tennessee,"6,915.11","6,745.40","13,660.51","4,988.73","4,926.23","9,914.96"
2000,Tennessee,"7,333.01","7,301.95","14,634.96","5,151.84","5,214.46","10,366.30"
2001,Tennessee,"7,905.46","7,654.82","15,560.28","5,399.65","5,323.58","10,723.23"
2002,Tennessee,"8,459.32","8,082.08","16,541.40","5,703.74","5,495.81","11,199.55"
2003,Tennessee,"8,824.85","8,716.76","17,541.61","5,824.40","5,789.10","11,613.50"
2004,Tennessee,"9,440.63","9,415.77","18,856.40","5,994.46","6,065.74","12,060.20"
2005,Tennessee,"10,041.25","10,110.88","20,152.13","6,248.73","6,330.29","12,579.02"
2006,Tennessee,"10,755.00","10,823.35","21,578.35","6,565.55","6,574.58","13,140.13"
2007,Tennessee,"11,524.17","11,391.52","22,915.69","6,751.93","6,691.15","13,443.08"
2008,Tennessee,"12,072.80","11,623.45","23,696.25","6,627.73","6,526.94","13,154.67"
2009,Tennessee,"11,920.31","11,469.95","23,390.26","6,494.57","6,215.12","12,709.69"
2010,Tennessee,"12,338.10","11,773.94","24,112.04","6,682.85","6,299.56","12,982.41"
2011,Tennessee,"13,002.96","12,454.65","25,457.61","6,700.01","6,518.78","13,218.79"
